,dataset,1,2,3,4,5,6,7,8,14,11,12,13,15,16,17
0,1,8.47,5.27,5.82,0.34,0.44,51.03,15.99,3.62,2.44,1.31,0.09,0.18,1.26,2.3,1.44
1,1,4.54,7.19,7.62,1.18,0.39,50.3,10.94,2.85,4.22,3.17,0.13,0.18,2.16,1.67,3.48
2,1,15.21,5.48,5.35,0.59,0.48,54.15,5.01,3.43,2.28,3.57,0.1,0.18,1.39,1.53,1.24
3,1,5.04,5.64,6.22,1.11,0.43,51.14,8.47,4.4,2.53,5.03,0.18,0.22,3.54,3.98,2.08
4,1,11.45,5.32,6.44,0.82,0.57,54.22,6.19,6.03,2.6,4.06,0.28,0.35,1.66,0,0
5,1,3.7,5.62,6.79,3.07,2.56,47.11,0,11.46,3.03,3.02,0.15,0.18,2.1,9.9,1.3
6,1,4.68,5.4,4.97,0.5,0.29,43.41,23.08,2.37,3.3,2.03,0.12,0.15,3,4.01,2.71
7,1,11.99,3.87,5.11,0.86,0.23,47.35,14.58,2.61,2.5,1.76,0.15,0.15,1.4,4.04,3.39
8,1,7.27,4.66,4.73,1.06,0.34,45.12,12.92,2.78,3.59,2.62,0.12,0.14,1.87,4.94,7.83
9,1,9.53,5.08,5.93,1.03,0.38,48.94,14.24,3.34,1.99,1.68,0.19,0.2,3.6,3.29,0.58
10,1,5.68,5.07,5.14,1.35,0.84,39.77,19.14,4.31,2.88,2.44,0.15,0.15,2.18,9.09,1.8
11,1,8.81,5.38,5.26,0.67,0.57,53.19,7.72,3.29,4.34,2.67,0.16,0.2,2.23,4.41,1.11
12,1,12.91,3.68,4.18,1.22,0.28,46.72,5.49,1.93,3.67,1.39,0.12,0.12,1.49,15.95,0.83
13,1,4.68,5.67,7.02,1.07,0.36,53.27,9.57,4.09,4.13,3.23,0.15,0.19,2.62,2,1.96
14,1,8.15,5.87,5.5,1.17,0.37,52.23,10.36,2.5,3.35,2.98,0.1,0.12,2.15,3.31,1.83
15,1,8.28,4.68,5.9,0.44,0.33,39.76,7.5,2.59,2.82,2.99,0.11,0.2,2.04,16.63,5.72
16,1,6.12,5.63,6.44,0.76,0.19,45.96,4.89,1.8,4.37,3.17,0.11,0.15,1.82,11.44,7.14
